Year;Catch;CPUE;Bv;seCatch;seCPUE;seBv
1968;19023;NA;NA;0.1;0.1;0.1
1969;26781;1133.1;NA;0.1;0.2;0.1
1970;40398;1606;NA;0.1;0.2;0.1
1971;37577;1539.8;NA;0.1;0.2;0.1
1972;33142;1784;NA;0.1;0.2;0.1
1973;25273;2114.6;NA;0.1;0.2;0.1
1974;27218;2053;NA;0.1;0.2;0.1
1975;35862;1794.3;NA;0.1;0.2;0.1
1976;62662;1475.6;NA;0.1;0.2;0.1
1977;43370;NA;NA;0.1;0.2;0.1
1978;39523;767.9;NA;0.1;0.2;0.1
1979;28711;NA;25776;0.1;0.2;0.1
1980;1514;NA;26141;0.1;0.2;0.1
1981;0.1;NA;23310;0.1;0.2;0.1
1982;293;NA;44432;0.1;0.2;0.1
1983;8689;1325.7;49983;0.1;0.2;0.1
1984;12092;1091.4;35940;0.1;0.2;0.1
1985;0.1;1692.5;NA;0.1;0.2;0.1
1986;6031;1749.5;35207;0.1;0.2;0.1
1987;5060;NA;NA;0.1;0.2;0.1
1988;5187;NA;NA;0.1;0.2;0.1
1989;573;NA;47321;0.1;0.2;0.1
1990;0.1;NA;NA;0.1;0.2;0.1
1991;346;NA;38997;0.1;0.2;0.1
1992;4002;1094.4;NA;0.1;0.2;0.1
1993;3334;1303.9;75615;0.1;0.2;0.1
1994;2421;NA;NA;0.1;0.2;0.1
1995;4938;1722.5;NA;0.1;0.2;0.1
1996;7726;2492.7;65796;0.1;0.2;0.1
1997;8939;2186.4;NA;0.1;0.2;0.1
1998;11943;1379.4;NA;0.1;0.2;0.1
1999;12077;1037.1;15024;0.1;0.2;0.1
2000;8558;478.1;5881;0.1;0.2;0.1
2001;5;NA;6620;0.1;0.2;0.1
2002;134;NA;8610;0.1;0.2;0.1
2003;0.1;NA;4204;0.1;0.2;0.1
2004;32;NA;9416;0.1;0.2;0.1
2005;34;NA;11615;0.1;0.2;0.1
2006;48;NA;43544;0.1;0.2;0.1
2007;72;NA;60066;0.1;0.2;0.1
2008;170;NA;65773;0.1;0.2;0.1
2009;2517;NA;51501;0.1;0.2;0.1
2010;1990;NA;NA;0.1;0.2;0.1
2011;3534;1472.9;87957;0.1;0.2;0.1
2012;4990;1558;76788;0.1;0.2;0.1
2013;6841;991.5;53891;0.1;0.2;0.1
2014;6972;768.4;20988;0.1;0.2;0.1
2015;5741;583.6;38153;0.1;0.2;0.1
2016;4340;442.9;39738;0.1;0.2;0.1
2017;4670;768.4;30358;0.1;0.2;0.1
2018;4614;535.9;39250;0.1;0.2;0.1
2019;4635;566;37588;0.1;0.2;0.1
2020;5265;996.7;20544;0.1;0.2;0.1
2021;6160;NA;32631;0.1;0.2;0.1
