Year;Catch;CPUE;Bv;seCatch;seCPUE;seBv
1979;382;NA;NA;0.1;NA;NA
1980;1478;NA;NA;0.1;NA;NA
1981;9066;NA;NA;0.1;NA;NA
1982;6042;NA;NA;0.1;0.15;NA
1983;5912;NA;NA;0.1;0.15;NA
1984;1714;NA;NA;0.1;NA;NA
1985;2263;0.59258;NA;0.1;0.15;NA
1986;2736;0.54936;NA;0.1;0.15;NA
1987;3336;0.54152;NA;0.1;0.15;NA
1988;3547;0.35185;NA;0.1;0.15;NA
1989;1861;0.47166;NA;0.1;0.15;NA
1990;931;0.74847;NA;0.1;0.15;NA
1991;2364;NA;NA;0.1;NA;NA
1992;791;0.79651;NA;0.1;0.15;NA
1993;856;NA;NA;0.1;NA;NA
1994;997;0.60548;NA;0.1;0.15;NA
1995;1429;1.99739;NA;0.1;0.15;NA
1996;74;0.84436;NA;0.1;0.15;NA
1997;3952;1.67994;NA;0.1;0.15;NA
1998;4828;0.72752;NA;0.1;0.15;NA
1999;2775;0.49773;NA;0.1;0.15;NA
2000;744;0.28484;2801.7;0.1;0.15;0.3
2001;10.58;NA;6443;0.1;NA;0.3
2002;156.5;NA;7155;0.1;NA;0.3
2003;122.54;0.92724;6838;0.1;0.15;0.3
2004;104.15;NA;33532.6;0.1;NA;0.3
2005;143.45;NA;25170.4;0.1;NA;0.1
2006;1123.03;2.24472;41874.7;0.1;0.15;0.1
2007;1288.27;2.00359;32071.1;0.1;0.15;0.1
2008;2551.1;1.45741;28409.1;0.1;0.15;0.1
2009;2536.52;1.52879;29104.7;0.1;0.15;0.1
2010;2439.81;1.3666;NA;0.1;0.15;NA
2011;2217.07;1.63808;13056.5;0.1;0.15;0.1
2012;1388.5;1.34846;4353;0.1;0.15;0.1
2013;1093.55;0.79621;4088.6;0.1;0.15;0.1
2014;1133.6;1.33816;14639;0.1;0.15;0.1
2015;1964.1;0.85414;11831;0.1;0.15;0.1
2016;1819.04;0.64394;13302;0.1;0.15;0.1
2017;1914.84;0.81565;12319;0.1;0.15;0.1
2018;1882.35;1.02223;18037;0.1;0.15;0.1
2019;1929.32;0.95853;14587;0.1;0.15;0.1
2020;1878;1.05257;15381;0.1;0.15;0.1
2021;2100;NA;19817;0.1;0.15;0.1
